mm_lluvia|3d_num_sin|4d_num_sin|5d_num_sin|6d_num_sin|7d_num_sin|8d_num_sin|9d_num_sin|10d_num_sin|11d_num_sin|12d_num_sin|13d_num_sin|14d_num_sin|15d_num_sin|2_dias|3_dias|4_dias|5_dias|6_dias|7_dias|8_dias|9_dias|10_dias|11_dias|12_dias|13_dias|14_dias|15_dias
0|3|3|4|4|4|4|4|4|4|4|4|4|4|0.00|0.00|0.10|0.10|12.70|40.60|42.10|49.60|78.00|115.50|117.60|136.30|151.50|160.60
0|3|4|4|5|5|5|5|5|5|5|5|5|5|0.00|0.00|0.00|0.10|0.10|12.70|40.60|42.10|49.60|78.00|115.50|117.60|136.30|151.50
0|3|4|5|5|6|6|6|6|6|6|6|6|6|0.00|0.00|0.00|0.00|0.10|0.10|12.70|40.60|42.10|49.60|78.00|115.50|117.60|136.30
0|3|4|5|6|6|7|7|7|7|7|7|7|7|0.00|0.00|0.00|0.00|0.00|0.10|0.10|12.70|40.60|42.10|49.60|78.00|115.50|117.60
9.9|2|3|4|5|6|6|7|7|7|7|7|7|7|9.90|9.90|9.90|9.90|9.90|9.90|10.00|10.00|22.60|50.50|52.00|59.50|87.90|125.40
2.1|1|2|3|4|5|6|6|7|7|7|7|7|7|12.00|12.00|12.00|12.00|12.00|12.00|12.00|12.10|12.10|24.70|52.60|54.10|61.60|90.00
14|0|1|2|3|4|5|6|6|7|7|7|7|7|16.10|26.00|26.00|26.00|26.00|26.00|26.00|26.00|26.10|26.10|38.70|66.60|68.10|75.60
0.8|0|0|1|2|3|4|5|6|6|7|7|7|7|14.80|16.90|26.80|26.80|26.80|26.80|26.80|26.80|26.80|26.90|26.90|39.50|67.40|68.90
27.3|0|0|0|1|2|3|4|5|6|6|7|7|7|28.10|42.10|44.20|54.10|54.10|54.10|54.10|54.10|54.10|54.10|54.20|54.20|66.80|94.70
15.2|0|0|0|0|1|2|3|4|5|6|6|7|7|42.50|43.30|57.30|59.40|69.30|69.30|69.30|69.30|69.30|69.30|69.30|69.40|69.40|82.00
36|0|0|0|0|0|1|2|3|4|5|6|6|7|51.20|78.50|79.30|93.30|95.40|105.30|105.30|105.30|105.30|105.30|105.30|105.30|105.40|105.40
6.9|0|0|0|0|0|0|1|2|3|4|5|6|6|42.90|58.10|85.40|86.20|100.20|102.30|112.20|112.20|112.20|112.20|112.20|112.20|112.20|112.30
3.5|0|0|0|0|0|0|0|1|2|3|4|5|6|10.40|46.40|61.60|88.90|89.70|103.70|105.80|115.70|115.70|115.70|115.70|115.70|115.70|115.70
2.4|0|0|0|0|0|0|0|0|1|2|3|4|5|5.90|12.80|48.80|64.00|91.30|92.10|106.10|108.20|118.10|118.10|118.10|118.10|118.10|118.10
19.4|0|0|0|0|0|0|0|0|0|1|2|3|4|21.80|25.30|32.20|68.20|83.40|110.70|111.50|125.50|127.60|137.50|137.50|137.50|137.50|137.50
1.2|0|0|0|0|0|0|0|0|0|0|1|2|3|20.60|23.00|26.50|33.40|69.40|84.60|111.90|112.70|126.70|128.80|138.70|138.70|138.70|138.70
0.2|0|0|0|0|0|0|0|0|0|0|0|1|2|1.40|20.80|23.20|26.70|33.60|69.60|84.80|112.10|112.90|126.90|129.00|138.90|138.90|138.90
10.2|0|0|0|0|0|0|0|0|0|0|0|0|1|10.40|11.60|31.00|33.40|36.90|43.80|79.80|95.00|122.30|123.10|137.10|139.20|149.10|149.10
4|0|0|0|0|0|0|0|0|0|0|0|0|0|14.20|14.40|15.60|35.00|37.40|40.90|47.80|83.80|99.00|126.30|127.10|141.10|143.20|153.10
22.9|0|0|0|0|0|0|0|0|0|0|0|0|0|26.90|37.10|37.30|38.50|57.90|60.30|63.80|70.70|106.70|121.90|149.20|150.00|164.00|166.10
0.5|0|0|0|0|0|0|0|0|0|0|0|0|0|23.40|27.40|37.60|37.80|39.00|58.40|60.80|64.30|71.20|107.20|122.40|149.70|150.50|164.50
2.7|0|0|0|0|0|0|0|0|0|0|0|0|0|3.20|26.10|30.10|40.30|40.50|41.70|61.10|63.50|67.00|73.90|109.90|125.10|152.40|153.20
0.8|0|0|0|0|0|0|0|0|0|0|0|0|0|3.50|4.00|26.90|30.90|41.10|41.30|42.50|61.90|64.30|67.80|74.70|110.70|125.90|153.20
0.2|0|0|0|0|0|0|0|0|0|0|0|0|0|1.00|3.70|4.20|27.10|31.10|41.30|41.50|42.70|62.10|64.50|68.00|74.90|110.90|126.10
0|1|1|1|1|1|1|1|1|1|1|1|1|1|0.20|1.00|3.70|4.20|27.10|31.10|41.30|41.50|42.70|62.10|64.50|68.00|74.90|110.90
0|2|2|2|2|2|2|2|2|2|2|2|2|2|0.00|0.20|1.00|3.70|4.20|27.10|31.10|41.30|41.50|42.70|62.10|64.50|68.00|74.90
0|3|3|3|3|3|3|3|3|3|3|3|3|3|0.00|0.00|0.20|1.00|3.70|4.20|27.10|31.10|41.30|41.50|42.70|62.10|64.50|68.00
0.9|2|3|3|3|3|3|3|3|3|3|3|3|3|0.90|0.90|0.90|1.10|1.90|4.60|5.10|28.00|32.00|42.20|42.40|43.60|63.00|65.40
0|2|3|4|4|4|4|4|4|4|4|4|4|4|0.90|0.90|0.90|0.90|1.10|1.90|4.60|5.10|28.00|32.00|42.20|42.40|43.60|63.00
0.9|1|2|3|4|4|4|4|4|4|4|4|4|4|0.90|1.80|1.80|1.80|1.80|2.00|2.80|5.50|6.00|28.90|32.90|43.10|43.30|44.50
24.6|1|1|2|3|4|4|4|4|4|4|4|4|4|25.50|25.50|26.40|26.40|26.40|26.40|26.60|27.40|30.10|30.60|53.50|57.50|67.70|67.90
19.3|0|1|1|2|3|4|4|4|4|4|4|4|4|43.90|44.80|44.80|45.70|45.70|45.70|45.70|45.90|46.70|49.40|49.90|72.80|76.80|87.00
12.2|0|0|1|1|2|3|4|4|4|4|4|4|4|31.50|56.10|57.00|57.00|57.90|57.90|57.90|57.90|58.10|58.90|61.60|62.10|85.00|89.00
0.1|0|0|0|1|1|2|3|4|4|4|4|4|4|12.30|31.60|56.20|57.10|57.10|58.00|58.00|58.00|58.00|58.20|59.00|61.70|62.20|85.10
1.4|0|0|0|0|1|1|2|3|4|4|4|4|4|1.50|13.70|33.00|57.60|58.50|58.50|59.40|59.40|59.40|59.40|59.60|60.40|63.10|63.60
7|0|0|0|0|0|1|1|2|3|4|4|4|4|8.40|8.50|20.70|40.00|64.60|65.50|65.50|66.40|66.40|66.40|66.40|66.60|67.40|70.10
0|1|1|1|1|1|1|2|2|3|4|5|5|5|7.00|8.40|8.50|20.70|40.00|64.60|65.50|65.50|66.40|66.40|66.40|66.40|66.60|67.40
0|2|2|2|2|2|2|2|3|3|4|5|6|6|0.00|7.00|8.40|8.50|20.70|40.00|64.60|65.50|65.50|66.40|66.40|66.40|66.40|66.60
0|3|3|3|3|3|3|3|3|4|4|5|6|7|0.00|0.00|7.00|8.40|8.50|20.70|40.00|64.60|65.50|65.50|66.40|66.40|66.40|66.40
1.1|2|3|3|3|3|3|3|3|3|4|4|5|6|1.10|1.10|1.10|8.10|9.50|9.60|21.80|41.10|65.70|66.60|66.60|67.50|67.50|67.50
1.4|1|2|3|3|3|3|3|3|3|3|4|4|5|2.50|2.50|2.50|2.50|9.50|10.90|11.00|23.20|42.50|67.10|68.00|68.00|68.90|68.90
0.1|0|1|2|3|3|3|3|3|3|3|3|4|4|1.50|2.60|2.60|2.60|2.60|9.60|11.00|11.10|23.30|42.60|67.20|68.10|68.10|69.00
0|1|1|2|3|4|4|4|4|4|4|4|4|5|0.10|1.50|2.60|2.60|2.60|2.60|9.60|11.00|11.10|23.30|42.60|67.20|68.10|68.10
0|2|2|2|3|4|5|5|5|5|5|5|5|5|0.00|0.10|1.50|2.60|2.60|2.60|2.60|9.60|11.00|11.10|23.30|42.60|67.20|68.10
0.6|2|2|2|2|3|4|5|5|5|5|5|5|5|0.60|0.60|0.70|2.10|3.20|3.20|3.20|3.20|10.20|11.60|11.70|23.90|43.20|67.80
0.7|1|2|2|2|2|3|4|5|5|5|5|5|5|1.30|1.30|1.30|1.40|2.80|3.90|3.90|3.90|3.90|10.90|12.30|12.40|24.60|43.90
0.1|0|1|2|2|2|2|3|4|5|5|5|5|5|0.80|1.40|1.40|1.40|1.50|2.90|4.00|4.00|4.00|4.00|11.00|12.40|12.50|24.70
0|1|1|2|3|3|3|3|4|5|6|6|6|6|0.10|0.80|1.40|1.40|1.40|1.50|2.90|4.00|4.00|4.00|4.00|11.00|12.40|12.50
0.4|1|1|1|2|3|3|3|3|4|5|6|6|6|0.40|0.50|1.20|1.80|1.80|1.80|1.90|3.30|4.40|4.40|4.40|4.40|11.40|12.80
1.4|1|1|1|1|2|3|3|3|3|4|5|6|6|1.80|1.80|1.90|2.60|3.20|3.20|3.20|3.30|4.70|5.80|5.80|5.80|5.80|12.80
0|1|2|2|2|2|3|4|4|4|4|5|6|7|1.40|1.80|1.80|1.90|2.60|3.20|3.20|3.20|3.30|4.70|5.80|5.80|5.80|5.80
4.5|1|1|2|2|2|2|3|4|4|4|4|5|6|4.50|5.90|6.30|6.30|6.40|7.10|7.70|7.70|7.70|7.80|9.20|10.30|10.30|10.30
0|2|2|2|3|3|3|3|4|5|5|5|5|6|4.50|4.50|5.90|6.30|6.30|6.40|7.10|7.70|7.70|7.70|7.80|9.20|10.30|10.30
0|2|3|3|3|4|4|4|4|5|6|6|6|6|0.00|4.50|4.50|5.90|6.30|6.30|6.40|7.10|7.70|7.70|7.70|7.80|9.20|10.30
0|3|3|4|4|4|5|5|5|5|6|7|7|7|0.00|0.00|4.50|4.50|5.90|6.30|6.30|6.40|7.10|7.70|7.70|7.70|7.80|9.20
0|3|4|4|5|5|5|6|6|6|6|7|8|8|0.00|0.00|0.00|4.50|4.50|5.90|6.30|6.30|6.40|7.10|7.70|7.70|7.70|7.80
0|3|4|5|5|6|6|6|7|7|7|7|8|9|0.00|0.00|0.00|0.00|4.50|4.50|5.90|6.30|6.30|6.40|7.10|7.70|7.70|7.70
2.7|2|3|4|5|5|6|6|6|7|7|7|7|8|2.70|2.70|2.70|2.70|2.70|7.20|7.20|8.60|9.00|9.00|9.10|9.80|10.40|10.40
0|2|3|4|5|6|6|7|7|7|8|8|8|8|2.70|2.70|2.70|2.70|2.70|2.70|7.20|7.20|8.60|9.00|9.00|9.10|9.80|10.40
0|2|3|4|5|6|7|7|8|8|8|9|9|9|0.00|2.70|2.70|2.70|2.70|2.70|2.70|7.20|7.20|8.60|9.00|9.00|9.10|9.80
0|3|3|4|5|6|7|8|8|9|9|9|10|10|0.00|0.00|2.70|2.70|2.70|2.70|2.70|2.70|7.20|7.20|8.60|9.00|9.00|9.10
11.8|2|3|3|4|5|6|7|8|8|9|9|9|10|11.80|11.80|11.80|14.50|14.50|14.50|14.50|14.50|14.50|19.00|19.00|20.40|20.80|20.80
1.4|1|2|3|3|4|5|6|7|8|8|9|9|9|13.20|13.20|13.20|13.20|15.90|15.90|15.90|15.90|15.90|15.90|20.40|20.40|21.80|22.20
1.4|0|1|2|3|3|4|5|6|7|8|8|9|9|2.80|14.60|14.60|14.60|14.60|17.30|17.30|17.30|17.30|17.30|17.30|21.80|21.80|23.20
